Business Unit,Description,L D,Co,BU Ty,Subledger Inactive,M C,Sector,Sub-Segment,Province,District,WCB Rates,Promo Expense,Category Code 07,Closed Business,IMS Fee,Admin Fee,Summary Reporting,Statement Formats,Regional VP,Fringe Calc,JV Units,Mgmt Fee,Bank Charges,Regional Director,Smallwares R&M,President,Multi Group,Group,Contract Terms,Cat Code 24,Fringe Caps,IFRS15,Commissions,COVID-19 Status,DM Assistants,Census Metro Area CMA,Online Reporting Access 1,Online Reporting Access 2,Online Reporting Access 3,Insurance,BE - Digital Hospitality,Finance Charge Exceptions,Business Line,BE - Like for Like,Rebate passed to Client,Acquisitions,Key Client Account,MAP1 Royalty Brands,Special Services,BE Online Reporting Access 4,US Data - Office Type,US Data - Compass Sector,BE - Top Retail Accounts,Concur BU,HFM Reporting,CAT 50,P E,Tax Rate Area,Address Number,Address Number1,Address Number2,Address Number3,Address Number4,Address Number5,Address Number6,Related BU,Related BU Description,Adj Entry,Adjustment Entry Description,Project Number,Project Description
"       52154",Stewart Title Guaranty-R.B.-TM,9,00750,TM," "," ",21,03,ON,91," "," "," ",CL," "," "," "," "," "," "," "," ",N/A," "," ",21," "," "," "," "," "," "," "," "," ",06," "," "," "," "," "," ",CM,B," ",HC," ",05," "," "," "," "," "," ",TM," ",N," ",639289,,,,,,,"       52154",Stewart Title Guaranty-R.B.-TM,0,Not Restricted,"            ",
"       52156",Sheraton Hotel - Ottawa-TM,9,00750,TM," "," ",30,03,ON,91," "," "," ",CL," "," "," "," "," "," "," "," "," "," "," ",21," "," ",FP," "," ",01," "," "," ",58," "," "," "," "," "," "," "," "," ",WS," ",05," "," "," "," "," "," ",TM," ",N," ",639290,,,,,,,"       52156",Sheraton Hotel - Ottawa-TM,0,Not Restricted,"            ",
"       52157",StMichael's Hosp-Resea Camp-TM,9,00750,TM," "," ",21,03,ON,91," "," "," ",CL," "," "," "," "," "," "," "," ",N/A," "," ",21," "," ",FP," "," "," "," "," "," ",06," "," "," "," "," "," ",HM,B," ",HC," ",05," "," "," "," "," "," ",TM," ",N," ",639291,,,,,,,"       52157",StMichael's Hosp-Resea Camp-TM,0,Not Restricted,"            ",
"       52158",1150 Mor Dr-CanFirst Ott Pr-TM,9,00750,TM," "," ",30,03,ON,91," "," "," ",CL," "," "," "," "," "," "," "," "," "," "," ",21," "," ",FP," "," ",01," "," "," ",58," "," "," "," "," "," "," "," "," ",WS," ",05," "," "," "," "," "," ",TM," ",N," ",639292,,,,,,,"       52158",1150 Mor Dr-CanFirst Ott Pr-TM,0,Not Restricted,"            ",
"       52160",60 Bloor Eq Inc / c/o Morguard,9,00750,BI," "," ",44,03,ON,I44,CON,N/A," ",CL," "," "," "," ",114,NIL," "," ",N/A," "," ",03," ",52160,FP," "," ",01," ",LC," ",06," "," "," ",N/A," "," ",CM,L," ",WS,MRG,05," "," "," "," "," "," ",BI," ",N," ",639293,,,,,,,"       52160",60 Bloor Eq Inc / c/o Morguard,0,Not Restricted,"            ",
"       52161",60 Bloor St - Supervision-TM,9,00750,TM," "," ",30,03,ON,91," "," "," ",CL," "," "," "," "," "," "," "," "," "," "," ",21," "," "," "," "," "," "," "," "," ",06," "," "," "," "," "," "," "," "," ",WS,MRG,09," "," "," "," "," "," ",TM," ",N," ",639294,,,,,,,"       52161",60 Bloor St - Supervision-TM,0,Not Restricted,"            ",
"       52162",Bay Bloor Eq C/o Morguard-TM,9,00750,TM," "," ",30,03,ON,91," "," "," ",CL," "," "," "," "," "," "," "," "," "," "," ",21," "," ",FP," "," ",01," "," "," ",06," "," "," "," "," "," "," "," "," ",WS,MRG,05," "," "," "," "," "," ",TM," ",N," ",639295,,,,,,,"       52162",Bay Bloor Eq C/o Morguard-TM,0,Not Restricted,"            ",
"       52163",77 Bloor St - Supervision-TM,9,00750,TM," "," ",30,03,ON,91," "," "," ",CL," "," "," "," "," "," "," "," "," "," "," ",21," "," "," "," "," "," "," "," "," ",06," "," "," "," "," "," "," "," "," ",WS,MRG,09," "," "," "," "," "," ",TM," ",N," ",639296,,,,,,,"       52163",77 Bloor St - Supervision-TM,0,Not Restricted,"            ",
"       52164",U of T - 90 Wellesley St. W-TM,9,00750,CU," "," ",42,03,ON,597,CON," "," ",CL," "," "," "," ",17," "," "," "," "," "," ",02," ",51695,CP," "," ",01," ",LC,012,06," "," "," "," "," "," ",CU,L," ",HC,049,05," "," "," "," "," "," ",CU," "," "," ",639297,,,,,,,"       52164",U of T - 90 Wellesley St. W-TM,0,Not Restricted,"            ",
"       52166",1140 Mor Dr-CanFirst Ott Pr-TM,9,00750,TM," "," ",30,03,ON,91," "," "," ",CL," "," "," "," "," "," "," "," "," "," "," ",21," "," ",FP," "," ",01," "," "," ",58," "," "," "," "," "," "," "," "," ",WS," ",05," "," "," "," "," "," ",TM," ",N," ",639299,,,,,,,"       52166",1140 Mor Dr-CanFirst Ott Pr-TM,0,Not Restricted,"            ",
"       52167",Moore Canada-TM,9,00750,TM," "," ",30,03,ON,91," "," "," ",CL," "," "," "," "," "," "," "," "," "," "," ",21," "," ",FP," "," ",01," "," "," ",93," "," "," "," "," "," "," "," "," ",WS," ",05," "," "," "," "," "," ",TM," ",N," ",639300,,,,,,,"       52167",Moore Canada-TM,0,Not Restricted,"            ",
"       52168",Pentair Thermal Management-TM,9,00750,TM," "," ",30,03,ON,91," "," "," ",CL," "," "," "," "," "," "," "," "," "," "," ",21," "," ",FP," "," ",01," "," "," ",93," "," "," "," "," "," "," "," "," ",WS," ",05," "," "," "," "," "," ",TM," ",N," ",639301,,,,,,,"       52168",Pentair Thermal Management-TM,0,Not Restricted,"            ",
"       52170","Mars Ctr Prop Mngt - ""Phase B""",9,00750,BI," "," ",44,03,ON,890,CON," "," "," "," "," "," "," ",114,C06," "," ",C15,147," ",03," ",52170,FP," "," ",01," ",RV," ",06," "," "," ",H02," "," ",CM,B," ",HC,045,05," "," "," "," "," ",1,BI," "," "," ",639302,,,,,,,"       52170","Mars Ctr Prop Mngt - ""Phase B""",0,Not Restricted,"            ",
"       52171",Mars Phase 2 Inc - Supervision,9,00750,BI," "," ",44,03,ON,890,CON," "," "," "," "," "," "," ",114,C06," "," ",N/A,147," ",03," ",52170," "," "," "," "," ",RV," ",06," "," "," ",H02," "," ",CM,B," ",HC,045,05," "," "," "," "," ",1,BI," "," "," ",638925,,,,,,,"       52171",Mars Phase 2 Inc - Supervision,0,Not Restricted,"            ",
"       52172",Mars Phase 2 Inc.,9,00750,BI," "," ",44,03,ON,890,CON," "," "," "," "," "," "," ",114,C06," "," ",C15,147," ",03," ",52170,FP," "," ",01," ",RV," ",06," "," "," ",H02," "," ",CM,B," ",HC,045,05," "," "," "," "," ",1,BI," "," "," ",639303,,,,,,,"       52172",Mars Phase 2 Inc.,0,Not Restricted,"            ",
"       52173",U Of T - 172 St George St - TM,9,00750,CU," "," ",42,03,ON,597,CON," "," ",CL," "," "," "," ",17," "," "," "," "," "," ",02," ",51695,CP," "," ",01," ",LC,012,06," "," "," "," "," "," ",CU,L," ",HC,049,05," "," "," "," "," "," ",CU," "," "," ",639304,,,,,,,"       52173",U Of T - 172 St George St - TM,0,Not Restricted,"            ",
"       52174",Corus Building-Morguard Inv-TM,9,00750,TM," "," ",21,03,ON,91," "," "," ",CL," "," "," "," "," "," "," "," ",N/A," "," ",21," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",CM,L," ",HC," ",05," "," "," "," "," "," ",TM," ",N," ",639928,,,,,,,"       52174",Corus Building-Morguard Inv-TM,0,Not Restricted,"            ",
"       52178",Suncor  Energy -2310 LakeshoTM,9,00750,TM," "," ",44,03,ON,91,N/A," "," ",CL," "," "," "," "," ",NIL," "," ",N/A," "," ",03," "," "," "," "," "," "," "," "," "," "," "," "," ",N/A," "," ",ID,L," ",HC," ",05," "," "," "," "," "," ",TM," ",N," ",638927,,,,,,,"       52178",Suncor  Energy -2310 LakeshoTM,0,Not Restricted,"            ",
"       52180",Branksome Hall,9,00750,HS," "," ",42,03,ON,453,CON," "," "," "," "," "," "," ",17,C06," "," ",C15,26," ",02," ",52180,FP," "," ",01," ",NI,012,06," ",65,68,H02," "," ",PS,L," ",HC," ",05," "," "," "," "," ",1,HS," "," "," ",639305,,,,,,,"       52180",Branksome Hall,0,Not Restricted,"            ",
"       52181",Branksome Hall - Supervision,9,00750,HS," "," ",42,03,ON,453,CON," "," "," "," "," "," "," ",17,C06," "," ",N/A,26," ",02," ",52180," "," "," "," "," ",NI,012,06," ",65,68,H02," "," ",PS,L," ",HC," ",05," "," "," "," "," ",1,HS," "," "," ",639306,,,,,,,"       52181",Branksome Hall - Supervision,0,Not Restricted,"            ",
"       52182",Branksome Hall - AWC,9,00750,HS," "," ",42,03,ON,453,CON," "," "," "," "," "," "," ",17,C06," "," ",N/A,26," ",02," ",52180,FP," "," ",01," ",NI,012,06," ",65,68,H02," "," ",PS,L," ",HC," ",05," "," "," "," "," ",1,HS," "," "," ",646658,,,,,,,"       52182",Branksome Hall - AWC,0,Not Restricted,"            ",
"       52183",Toronto Eaton Ctr  Scullery-TM,9,00750,TM," "," ",21,03,ON,91," "," "," ",CL," "," "," "," "," "," "," "," ",N/A," "," ",21," "," "," "," "," "," "," "," "," ",06," "," "," "," "," "," ",RL,L," ",HC," ",05," "," "," "," "," "," ",TM," ",N," ",638965,,,,,,,"       52183",Toronto Eaton Ctr  Scullery-TM,0,Not Restricted,"            ",
"       52184",Bay Adelaide C/O Brookfield-TM,9,00750,TM," "," ",21,03,ON,91," "," "," ",CL," "," "," "," "," "," "," "," ",N/A," "," ",21," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",CM,L," ",HC," ",05," "," "," "," "," "," ",TM," ",N," ",639922,,,,,,,"       52184",Bay Adelaide C/O Brookfield-TM,0,Not Restricted,"            ",
"       52186",Bayview Glen - FP,9,00750,HS," "," ",42,03,ON,453,CON," "," "," "," "," "," "," ",17,C06," "," ",C15,26," ",02," "," ",FP," "," ",01," ",NI,012,06," ",65,68,H02," "," ",PS,B," "," "," ",05," "," "," "," "," ",1,HS," "," "," ",799205,,,,,,,"       52186",Bayview Glen - FP,0,Not Restricted,"            ",
"       52187",Fairview Mall - CF CorpTM,9,00750,TM," "," ",44,03,ON,91,N/A," "," ",CL," "," "," "," "," ",NIL," "," ",N/A," "," ",03," "," "," "," "," "," "," "," "," "," "," "," "," ",N/A," "," ",RL,L," ",HC," ",05," "," "," "," "," "," ",TM," ",N," ",639925,,,,,,,"       52187",Fairview Mall - CF CorpTM,0,Not Restricted,"            ",
"       52188",Royale Grande Prop Mngt TM,9,00750,TM," "," ",44,03,ON,91,N/A," "," ",CL," "," "," "," "," ",NIL," "," ",N/A," "," ",03," "," "," "," "," "," "," "," "," ",06," "," "," ",N/A," "," ",CR,L," ",HC," ",05," "," "," "," "," "," ",TM," ",N," ",639930,,,,,,,"       52188",Royale Grande Prop Mngt TM,0,Not Restricted,"            ",
"       52189",Holy Trinity School - CP,9,00750,HS," "," ",42,03,ON,453,CON," "," "," "," "," "," "," ",17,C06," "," ",C15,26," ",02," "," ",CP," "," ",01," ",NI,012,06," ",65,68,H02," "," ",PS,B," "," "," ",05," "," "," "," "," ",1,HS," "," "," ",803986,,,,,,,"       52189",Holy Trinity School - CP,0,Not Restricted,"            ",
"       52190",20 Vic Mngt Inc-Ottawa,9,00750,BI," "," ",44,03,ON,I44,CON,N/A," ",CL," "," "," "," ",114,NIL," "," ",N/A," "," ",03," ",52190,FP," "," ",01," ",LC," ",58," "," "," ",N/A," "," ",RL,B," ",WS,20V,05," "," "," "," "," "," ",BI," ",N," ",639307,,,,,,,"       52190",20 Vic Mngt Inc-Ottawa,0,Not Restricted,"            ",
"       52191",Billings Bridge Plaza - Sup-TM,9,00750,TM," "," ",30,03,ON,91," "," "," ",CL," "," "," "," "," "," "," "," "," "," "," ",21," "," "," "," "," "," "," "," "," ",58," "," "," "," "," "," "," "," "," ",WS,20V,09," "," "," "," "," "," ",TM," ",N," ",639308,,,,,,,"       52191",Billings Bridge Plaza - Sup-TM,0,Not Restricted,"            ",
"       52193",Maple Ridge Community Mngt TM,9,00750,TM," "," ",44,03,ON,91,N/A," "," ",CL," "," "," "," "," ",NIL," "," ",N/A," "," ",03," "," "," "," "," "," "," "," "," ",06," "," "," ",N/A," "," ",CR,L," ",HC," ",05," "," "," "," "," "," ",TM," ",N," ",639940,,,,,,,"       52193",Maple Ridge Community Mngt TM,0,Not Restricted,"            ",
"       52194",Realspace Management Group,9,00750,BI," "," ",44,03,ON,I44,CON," "," ",CL," "," "," "," ",114,C06," "," ",N/A," "," ",03," "," "," "," "," "," "," ",LC," ",06," "," "," ",H02," "," ",CM,L," ",HC," ",05," "," "," "," "," "," ",BI," "," "," ",638957,,,,,,,"       52194",Realspace Management Group,0,Not Restricted,"            ",
"       52197",Oxford - Metro Centre,9,00750,BI," "," ",44,03,ON,I44,CON," "," ",CL," "," "," "," ",114,C06," "," ",N/A," "," ",03," "," "," "," "," "," "," ",LC," ",06," "," "," ",H02," "," ",CM,L," ",HC," ",05," "," "," "," "," "," ",BI," "," "," ",638959,,,,,,,"       52197",Oxford - Metro Centre,0,Not Restricted,"            ",
"       52198",Canadian Hearing Society-TM,9,00750,TM," "," ",21,03,ON,91," "," "," ",CL," "," "," "," "," "," "," "," ",N/A," "," ",21," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",L," ",HC," ",05," "," "," "," "," "," ",TM," ",N," ",639924,,,,,,,"       52198",Canadian Hearing Society-TM,0,Not Restricted,"            ",
"       52201",Mondelez - Bertrand - CP,9,00750,IN," "," ",44,03,ON,511,CON," "," "," "," "," "," "," ",114,C06," "," ",C15,145," ",03," ",52205,CP," "," ",01," ",NI," ",06," ",63,06,H02," "," "," ",N," "," "," ",05," "," "," "," "," ",1,IN," "," "," ",817516,,,,,,,"       52201",Mondelez - Bertrand - CP,0,Not Restricted,"            ",
"       52202",Mondelezl - Gladstone - CP,9,00750,IN," "," ",44,03,ON,511,CON," "," "," "," "," "," "," ",114,C06," "," ",C15,145," ",03," ",52205,CP," "," ",01," ",NI," ",06," ",63,06,H02," "," "," ",N," "," "," ",05," "," "," "," "," ",1,IN," "," "," ",817517,,,,,,,"       52202",Mondelezl - Gladstone - CP,0,Not Restricted,"            ",
"       52203",Mondelez - East York - CP,9,00750,BI," "," ",44,03,ON,511,CON," "," "," "," "," "," "," ",114,C06," "," ",C15,145," ",03," ",52205,CP," "," ",01," ",NI," ",06," ",63,06,H02," "," "," ",N," "," "," ",05," "," "," "," "," ",1,BI," "," "," ",817518,,,,,,,"       52203",Mondelez - East York - CP,0,Not Restricted,"            ",
"       52204",Mondelez - Hamilton Mfg - CP,9,00750,IN," "," ",44,03,ON,511,CON," "," "," "," "," "," "," ",114,C06," "," ",C15,145," ",03," ",52205,CP," "," ",01," ",NI," ",61," ",63,06,H02," "," "," ",N," "," "," ",05," "," "," "," "," ",1,IN," "," "," ",817519,,,,,,,"       52204",Mondelez - Hamilton Mfg - CP,0,Not Restricted,"            ",
"       52205",Mondelez - Group,9,00750,BI," "," ",44,03,ON,511,CON," "," "," "," "," "," "," ",114,C06," "," ",C15,145," ",03," ",52205,CP," "," ",01," ",NI," "," "," ",63,06,H02," "," "," ",N," "," "," ",05," "," "," "," "," "," ",BI," "," "," ",817514,,,,,,,"       52205",Mondelez - Group,0,Not Restricted,"            ",
"       52206",Mondelez - Scarboro  - CP,9,00750,IN," "," ",44,03,ON,511,CON," "," "," "," "," "," "," ",114,C06," "," ",C15,145," ",03," ",52205,CP," "," ",01," ",NI," ",06," ",63,06,H02," "," "," ",N," "," "," ",05," "," "," "," "," ",1,IN," "," "," ",817520,,,,,,,"       52206",Mondelez - Scarboro  - CP,0,Not Restricted,"            ",
"       52207",Mondelez - HDC - CP,9,00750,IN," "," ",44,03,ON,511,CON," "," "," "," "," "," "," ",114,C06," "," ",C15,145," ",03," ",52205,CP," "," ",01," ",NI," ",61," ",63,06,H02," "," "," ",N," "," "," ",05," "," "," "," "," ",1,IN," "," "," ",817521,,,,,,,"       52207",Mondelez - HDC - CP,0,Not Restricted,"            ",
"       52209",Mondelez - Overhead,9,00750,BI," "," ",44,03,ON,511,CON," "," "," "," "," "," "," ",114,C06," "," ",C15,145," ",03," ",52205,CP," "," ",01," ",NI," "," "," ",63,06,H02," "," "," ",N," "," "," ",05," "," "," "," "," ",1,BI," "," "," ",818374,,,,,,,"       52209",Mondelez - Overhead,0,Not Restricted,"            ",
"       52210",Casa Loma,9,00750,BI," "," ",44,03,ON,I44,CON," "," ",CL," "," "," "," ",114,C06," "," ",N/A," "," ",03," ",52210,FP," "," "," "," ",LC," ",06," "," "," ",H02," "," ",SP,L," ",HC," ",05," "," "," "," "," "," ",BI," "," "," ",639310,,,,,,,"       52210",Casa Loma,0,Not Restricted,"            ",
"       52211",Mondelez-Out of Scope-CP,9,00750,IN," "," ",44,03,ON,511,CON," "," "," "," "," "," "," ",114,C06," "," ",C15,145," ",03," ",52205,CP," "," ",01," ",NI," ",06," ",63,06,H02," "," "," ",N," "," "," ",05," "," "," "," "," ",1,IN," "," "," ",824057,,,,,,,"       52211",Mondelez-Out of Scope-CP,0,Not Restricted,"            ",
"       52212",Mondelez-Corporate Office-CP,9,00750,BI," "," ",44,03,ON,511,CON," "," "," "," "," "," "," ",114,C06," "," ",C15,145," ",03," ",52205,CP," "," ",01," ",NI," ",06," ",63,06,H02," "," "," ",N," "," "," ",05," "," "," "," "," ",1,BI," "," "," ",824058,,,,,,,"       52212",Mondelez-Corporate Office-CP,0,Not Restricted,"            ",
"       52213",WSIB - Paul Rocha TM,9,00750,TM," "," ",42,03,ON,91,N/A," "," ",CL," "," "," "," "," ",NIL," "," ",N/A," "," ",02," "," "," "," "," "," "," "," "," ",93," "," "," ",N/A," "," "," ",L," ",HC," ",05," "," "," "," "," "," ",TM," ",N," ",638988,,,,,,,"       52213",WSIB - Paul Rocha TM,0,Not Restricted,"            ",
"       52214",WSIB - Glen Tristram-TM,9,00750,TM," "," ",44,03,ON,91,N/A," "," ",CL," "," "," "," "," ",NIL," "," ",N/A," "," ",03," "," "," "," "," "," "," "," "," ",93," "," "," ",N/A," "," "," ",L," ",HC," ",05," "," "," "," "," "," ",TM," ",N," ",638989,,,,,,,"       52214",WSIB - Glen Tristram-TM,0,Not Restricted,"            ",
"       52216",Wsib - Carlos Montes-TM,9,00750,TM," "," ",21,03,ON,91," "," "," ",CL," "," "," "," "," "," "," "," ",N/A," "," ",21," "," "," "," "," "," "," "," "," ",06," "," "," "," "," "," "," ",L," ",HC," ",05," "," "," "," "," "," ",TM," ",N," ",638990,,,,,,,"       52216",Wsib - Carlos Montes-TM,0,Not Restricted,"            ",
"       52217",Wsib - Monica DeSousa-TM,9,00750,TM," "," ",30,03,ON,91," "," "," ",CL," "," "," "," "," "," "," "," "," "," "," ",21," "," "," "," "," "," "," "," "," ",63," "," "," "," "," "," "," "," "," ",HC," ",09," "," "," "," "," "," ",TM," ",N," ",638987,,,,,,,"       52217",Wsib - Monica DeSousa-TM,0,Not Restricted,"            ",
"       52218",T.D. Bank Financial Group-TM,9,00750,TM," "," ",21,03,ON,91," "," "," ",CL," "," "," "," "," "," "," "," ",N/A," "," ",21," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",CM,L," ",HC," ",05," "," "," "," "," "," ",TM," ",N," ",639957,,,,,,,"       52218",T.D. Bank Financial Group-TM,0,Not Restricted,"            ",
"       52219",Studio City Inc. TM,9,00750,TM," "," ",21,03,ON,91," "," "," ",CL," "," "," "," "," ",NIL," "," ",N/A," "," ",21," "," "," "," "," "," "," "," "," ",06," "," "," ",N/A," "," "," ",L," ",HC," ",05," "," "," "," "," "," ",TM," ",N," ",639949,,,,,,,"       52219",Studio City Inc. TM,0,Not Restricted,"            ",
"       52220",Cisco-190 Liberty StToronto-TM,9,00750,TM," "," ",30,03,ON,91," "," "," ",CL," "," "," "," "," "," "," "," "," "," "," ",21," "," ",FP," "," "," "," "," "," ",06," "," "," "," "," "," "," "," "," ",WS,CBR,09," "," "," "," "," "," ",TM," ",N," ",639311,,,,,,,"       52220",Cisco-190 Liberty StToronto-TM,0,Not Restricted,"            ",
"       52222",AstraZeneca Canada Inc.-CP,9,00750,IN," "," ",44,03,ON,545,CON," "," "," "," "," "," "," ",114,C06," "," ",C15,147," ",03," "," ",CP," "," ",01," ",NI," ",06," "," "," ",H02," "," "," ",B," "," "," ",05," "," "," "," "," ",1,IN," "," "," ",798021,,,,,,,"       52222",AstraZeneca Canada Inc.-CP,0,Not Restricted,"            ",
"       52223",Cadillac Fairview Corp -TM,9,00750,TM," "," ",21,03,ON,91," "," "," ",CL," "," "," "," "," "," "," "," ",N/A," "," ",21," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",CM,L," ",HC," ",05," "," "," "," "," "," ",TM," ",N," ",639958,,,,,,,"       52223",Cadillac Fairview Corp -TM,0,Not Restricted,"            ",
"       52224",Oxford - 123 Front Street-TM,9,00750,TM," "," ",21,03,ON,91," "," "," ",CL," "," "," "," "," "," "," "," ",N/A," "," ",21," "," "," "," "," "," "," "," "," ",06," "," "," "," "," "," ",CM,L," ",HC," ",05," "," "," "," "," "," ",TM," ",N," ",638958,,,,,,,"       52224",Oxford - 123 Front Street-TM,0,Not Restricted,"            ",
"       52226",Avison Young Prop. Mngt-TM,9,00750,TM," "," ",21,03,ON,91," "," "," ",CL," "," "," "," "," "," "," "," ",N/A," "," ",21," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",L," ",HC," ",05," "," "," "," "," "," ",TM," ",N," ",638923,,,,,,,"       52226",Avison Young Prop. Mngt-TM,0,Not Restricted,"            ",
"       52227",Impark @ Metro Centre-TM,9,00750,TM," "," ",21,03,ON,91," "," "," ",CL," "," "," "," "," "," "," "," ",N/A," "," ",21," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",CM,L," ",HC," ",05," "," "," "," "," "," ",TM," ",N," ",639944,,,,,,,"       52227",Impark @ Metro Centre-TM,0,Not Restricted,"            ",
"       52228",Toronto College Park Extras-TM,9,00750,TM," "," ",21,03,ON,91," "," "," ",CL," "," "," "," "," "," "," "," ",N/A," "," ",21," "," "," "," "," "," "," "," "," ",06," "," "," "," "," "," "," ",L," ",HC," ",05," "," "," "," "," "," ",TM," ",N," ",638953,,,,,,,"       52228",Toronto College Park Extras-TM,0,Not Restricted,"            ",
"       52230",C.B.C Buildg-Morguard Inves-TM,9,00750,TM," "," ",30,03,ON,91," "," "," ",CL," "," "," "," "," "," "," "," "," "," "," ",21," "," ",FP," "," ",01," "," "," ",58," "," "," "," "," "," "," "," "," ",WS,MRG,05," "," "," "," "," "," ",TM," ",N," ",639312,,,,,,,"       52230",C.B.C Buildg-Morguard Inves-TM,0,Not Restricted,"            ",
"       52231",CBC Building - Supervision-TM,9,00750,TM," "," ",30,03,ON,91," "," "," ",CL," "," "," "," "," "," "," "," "," "," "," ",21," "," "," "," "," "," "," "," "," ",58," "," "," "," "," "," "," "," "," ",WS,MRG,09," "," "," "," "," "," ",TM," ",N," ",639313,,,,,,,"       52231",CBC Building - Supervision-TM,0,Not Restricted,"            ",
"       52232",TBK Creative-TM,9,00750,TM," "," ",30,03,ON,91," "," "," ",CL," "," "," "," "," "," "," "," "," "," "," ",21," "," ",FP," "," ",01," "," "," ",64," "," "," "," "," "," "," "," "," ",WS," ",05," "," "," "," "," "," ",TM," ",N," ",686339,,,,,,,"       52232",TBK Creative-TM,0,Not Restricted,"            ",
"       52233",Massey College-TM,9,00750,TM," "," ",21,03,ON,91," "," "," ",CL," "," "," "," "," "," "," "," ",N/A," "," ",21," "," "," "," "," "," "," "," "," ",06," "," "," "," "," "," ",PS,L," ",HC," ",05," "," "," "," "," "," ",TM," ",N," ",639939,,,,,,,"       52233",Massey College-TM,0,Not Restricted,"            ",
"       52234",Black & Mcdonald-5255 Solar-TM,9,00750,TM," "," ",21,03,ON,91," "," "," ",CL," "," "," "," "," "," "," "," ",N/A," "," ",21," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",SP,L," ",HC," ",05," "," "," "," "," "," ",TM," ",N," ",638924,,,,,,,"       52234",Black & Mcdonald-5255 Solar-TM,0,Not Restricted,"            ",
"       52236",Ticket King-TM,9,00750,TM," "," ",21,03,ON,91," "," "," ",CL," "," "," "," "," "," "," "," ",N/A," "," ",21," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",L," ",HC," ",05," "," "," "," "," "," ",TM," ",N," ",639950,,,,,,,"       52236",Ticket King-TM,0,Not Restricted,"            ",
"       52240",Cornell Engineering Company-TM,9,00750,TM," "," ",30,03,ON,91," "," "," ",CL," "," "," "," "," "," "," "," "," "," "," ",21," "," ",FP," "," "," "," "," "," ",06," "," "," "," "," "," "," "," "," ",WS," ",05," "," "," "," "," "," ",TM," ",N," ",639314,,,,,,,"       52240",Cornell Engineering Company-TM,0,Not Restricted,"            ",
"       52250",Colonade Devlopmnt-9 Auriga-TM,9,00750,TM," "," ",30,03,ON,91," "," "," ",CL," "," "," "," "," "," "," "," "," "," "," ",21," "," ",FP," "," ",01," "," "," ",58," "," "," "," "," "," "," "," "," ",WS," ",05," "," "," "," "," "," ",TM," ",N," ",639315,,,,,,,"       52250",Colonade Devlopmnt-9 Auriga-TM,0,Not Restricted,"            ",
"       52252",ColonnadeDevelpmnt-31Auriga-TM,9,00750,TM," "," ",30,03,ON,91," "," "," ",CL," "," "," "," "," "," "," "," "," "," "," ",21," "," ",FP," "," ",01," "," "," ",58," "," "," "," "," "," "," "," "," ",WS," ",05," "," "," "," "," "," ",TM," ",N," ",639316,,,,,,,"       52252",ColonnadeDevelpmnt-31Auriga-TM,0,Not Restricted,"            ",
"       52253",ColonnadeDev-3500Fallowfeld-TM,9,00750,TM," "," ",30,03,ON,91," "," "," ",CL," "," "," "," "," "," "," "," "," "," "," ",21," "," ",FP," "," "," "," "," "," ",58," "," "," "," "," "," "," "," "," ",WS," ",09," "," "," "," "," "," ",TM," ",N," ",699340,,,,,,,"       52253",ColonnadeDev-3500Fallowfeld-TM,0,Not Restricted,"            ",
"       52256",Colonnade Management-TM,9,00750,TM," "," ",30,03,ON,91," "," "," ",CL," "," "," "," "," "," "," "," "," "," "," ",21," "," ",FP," "," "," "," "," "," ",58," "," "," "," "," "," "," "," "," ",WS," ",09," "," "," "," "," "," ",TM," ",N," ",639317,,,,,,,"       52256",Colonnade Management-TM,0,Not Restricted,"            ",
"       52260",College of Physicians&Surg TM,9,00750,TM," "," ",42,03,ON,91,N/A," "," ",CL," "," "," "," "," ",NIL," "," ",N/A," "," ",02," "," ",FP," "," ",01," "," "," ",06," "," "," ",N/A," "," ",CU,B," ",HC," ",05," "," "," "," "," "," ",TM," ",N," ",639318,,,,,,,"       52260",College of Physicians&Surg TM,0,Not Restricted,"            ",
"       52270",Del Prop-The Icon 270 Welling,9,00750,BI," "," ",44,03,ON,I44,CON,N/A," ",CL," "," "," "," ",114,NIL," "," ",N/A," "," ",03," ",52270,FP," "," ",01," ",LC," ",06," "," "," ",N/A," "," ",CR,L," ",WS," ",05," "," "," "," "," "," ",BI," ",N," ",639319,,,,,,,"       52270",Del Prop-The Icon 270 Welling,0,Not Restricted,"            ",
"       52272",DelPrp-ThIcon-ShFacil270Wel-TM,9,00750,TM," "," ",30,03,ON,91," "," "," ",CL," "," "," "," "," "," "," "," "," "," "," ",21," "," ",FP," "," ",01," "," "," ",06," "," "," "," "," "," "," "," "," ",WS," ",05," "," "," "," "," "," ",TM," ",N," ",639322,,,,,,,"       52272",DelPrp-ThIcon-ShFacil270Wel-TM,0,Not Restricted,"            ",
